,nameFirst,nameLast,BAT_ID,RE24,PA,Runs.Start
355,Jon,Gray,grayj003,-14.59416031,59,31.8513211
356,Sonny,Gray,grays001,-7.640108483,61,31.38638076
357,Chad,Green,greec003,-0.321066309,1,0.559830354
358,Zach,Green,greez001,-1.543643329,16,9.352595057
359,Didi,Gregorius,gregd001,5.149444065,344,178.71341
360,Grayson,Greiner,greig001,-19.83520603,224,109.202874
361,Zack,Greinke,greiz001,-0.184403965,56,27.95366895
362,Randal,Grichuk,gricr001,-17.92356882,627,313.1228551
363,Trent,Grisham,grist001,1.13459941,184,99.61846154
364,Robbie,Grossman,grosr001,-5.832485853,482,236.2694876
365,Deivy,Grullon,gruld001,-1.415124477,9,4.446501456
366,Robert,Gsellman,gselr001,0.407540299,1,0.534538863
367,Javy,Guerra,guerj002,-1.310781076,5,3.627446973
368,Junior,Guerra,guerj003,-0.020334101,3,0.692617677
369,Vladimir,Guerrero,guerv002,4.657000867,514,268.081186
370,Luis,Guillorme,guill001,-4.788532319,70,34.57125698
371,Lourdes,Gurriel,gurrl001,7.97604516,343,177.7990289
372,Yuli,Gurriel,gurry001,21.83649749,612,330.4590038
373,Jandel,Gustave,gustj001,-0.112453222,1,0.112453222
374,Kelvin,Gutierrez,gutik001,-3.980007028,79,44.14825421
375,Ronald,Guzman,guzmr001,0.182605895,295,143.0735823
376,Jedd,Gyorko,gyorj001,-7.601336676,101,51.43677151
377,Eric,Haase,haase001,-1.710264998,17,8.482350874
378,Josh,Hader,hadej001,-0.697422668,2,0.697422668
379,Sam,Haggerty,haggs001,-0.771651063,4,1.109010728
380,Cole,Hamels,hamec001,-6.163372252,46,22.21380575
381,Billy,Hamilton,hamib001,-18.8485685,353,184.0984935
382,J. D.,Hammer,hammj003,-0.244456635,1,0.534538863
383,Garrett,Hampson,hampg001,-12.07362775,327,152.6518696
384,Mitch,Haniger,hanim001,-2.775511939,283,145.9194936
385,Alen,Hanson,hansa001,-4.81968791,48,27.34329423
386,Ian,Happ,happi001,7.523081257,156,81.32066291
387,J. A.,Happ,happj001,-1.009644459,4,2.33916241
388,Bryce,Harper,harpb003,46.35280982,682,347.7969025
389,Josh,Harrison,harrj002,-16.8273547,146,78.98484084
390,Donnie,Hart,hartd002,-0.355258012,2,0.580164455
391,Adam,Haseley,hasea001,-1.239138181,242,126.4602444
392,Austin,Hays,haysa001,6.814624531,75,35.14556583
393,Ryon,Healy,healr001,-3.104131907,187,97.15594922
394,Adeiny,Hechavarria,hecha001,8.37312772,221,105.9856393
395,Austin,Hedges,hedga001,-17.8219989,347,166.4131364
396,Scott,Heineman,heins001,-3.68420952,85,42.81540833
397,Tyler,Heineman,heint001,-0.137889619,12,5.86457494
398,Jeremy,Hellickson,hellj001,-1.596329923,13,6.312371843
399,Ryan,Helsley,helsr001,-1.031649091,3,2.958753826
400,Kyle,Hendricks,hendk001,-10.1321855,64,37.90120519
401,Guillermo,Heredia,hereg002,-9.047694422,231,120.4262807
402,Michael,Hermosillo,hermm001,-2.442341986,46,23.20689463
403,Cesar,Hernandez,hernc005,-7.877998723,667,342.190291
404,Enrique,Hernandez,herne001,-7.681908386,460,238.8457041
405,Elieser,Hernandez,herne002,-5.835246979,24,14.37142933
406,Felix,Hernandez,hernf002,-0.337359665,3,0.337359665
407,Gorkys,Hernandez,herng001,-6.53464231,57,31.22737718
408,Marco,Hernandez,hernm003,-10.51076359,155,79.63383633
409,Teoscar,Hernandez,hernt002,2.345577856,464,228.6940012
410,Chris,Herrmann,herrc001,-8.038223838,94,50.17346841
411,Odubel,Herrera,herro001,-4.575972179,139,77.26209265
412,Rosell,Herrera,herrr002,-5.263101822,119,62.91447417
413,David,Hess,hessd001,-1.196577269,4,2.76298034
414,Jason,Heyward,heywj001,-0.898468727,589,305.2748547
415,Aaron,Hicks,hicka001,2.692053286,255,135.0209433
416,John,Hicks,hickj001,-27.83396235,333,175.9210718
417,Kyle,Higashioka,higak001,-2.122656162,57,29.28371032
418,Rich,Hill,hillr001,-2.157754768,20,8.518606532
419,Sam,Hilliard,hills005,4.385212336,87,39.12712123
420,Keston,Hiura,hiurk001,9.858441662,348,188.7564022
421,Nico,Hoerner,hoern001,3.262587831,82,42.87124257
422,Jeff,Hoffman,hoffj003,-2.095472668,24,10.3653088
423,Bryan,Holaday,holab001,-2.79972405,129,67.24168481
424,Derek,Holland,holld003,-3.239673345,16,9.922155151
425,Clay,Holmes,holmc001,-1.092717372,5,1.668841082
426,Brock,Holt,holtb002,1.17441416,295,157.1915424
427,Rhys,Hoskins,hoskr001,9.395863373,705,369.4753917
428,Eric,Hosmer,hosme001,13.00083187,667,331.4793213
429,Adrian,Houser,housa001,-5.498198019,27,11.43279277
430,Sam,Howard,howas002,-0.244456635,1,0.534538863
431,Dakota,Hudson,hudsd002,-8.320504793,59,30.27812902
432,Joe,Hudson,hudsj002,-0.112453222,1,0.112453222
433,Jared,Hughes,hughj001,-0.488913271,2,1.069077726
434,Nick,Hundley,hundn001,-12.98255491,73,39.0636739
435,Chris,Iannetta,iannc001,-3.167975619,164,79.15961111
436,Jose,Iglesias,iglej001,-6.07087677,530,274.2252996
437,Raisel,Iglesias,igler001,-0.656613806,2,0.656613806
438,Ender,Inciarte,incie001,1.555880273,230,122.9153742
439,Cole,Irvin,irvic001,-0.662478002,8,4.001316861
440,Alex,Jackson,jacka002,-4.839700492,15,7.348228038
441,Drew,Jackson,jackd004,-0.544759711,4,1.34335411
442,Edwin,Jackson,jacke001,-0.976538835,3,1.647609369
443,Jay,Jackson,jackj001,-1.009053556,2,1.009053556
444,Travis,Jankowski,jankt001,-2.036149241,25,12.7648362
445,Danny,Jansen,jansd001,-8.956178466,384,198.2060793
446,Kenley,Jansen,jansk001,-0.321066309,1,0.559830354
